"Provincias	Condición jurídica	Periodo	Total"
"Total Nacional	Total	2024	3.255.276"
"Total Nacional	Total	2023	3.207.580"
"Total Nacional	Total	2022	3.430.663"
"Total Nacional	Total	2021	3.366.570"
"Total Nacional	Total	2020	3.404.428"
"Total Nacional	Total	2019	3.363.197"
"Total Nacional	Total	2018	3.337.646"
"Total Nacional	Total	2017	3.282.346"
"Total Nacional	Total	2016	3.236.582"
"Total Nacional	Total	2015	3.186.878"
"Total Nacional	Total	2014	3.119.310"
"Total Nacional	Total	2013	3.146.570"
"Total Nacional	Total	2012	3.199.617"
"Total Nacional	Total	2011	3.250.576"
"Total Nacional	Total	2010	3.291.263"
"Total Nacional	Total	2009	3.355.830"
"Total Nacional	Total	2008	3.422.239"
"Total Nacional	Total	2007	3.336.657"
"Total Nacional	Total	2006	3.174.393"
"Total Nacional	Total	2005	3.064.129"
"Total Nacional	Total	2004	2.942.583"
"Total Nacional	Total	2003	2.813.159"
"Total Nacional	Total	2002	2.710.400"
"Total Nacional	Total	2001	2.645.317"
"Total Nacional	Total	2000	2.595.392"
"Total Nacional	Total	1999	2.518.801"
"Total Nacional	Sociedades anónimas	2024	48.109"
"Total Nacional	Sociedades anónimas	2023	49.115"
"Total Nacional	Sociedades anónimas	2022	58.860"
"Total Nacional	Sociedades anónimas	2021	60.510"
"Total Nacional	Sociedades anónimas	2020	63.456"
"Total Nacional	Sociedades anónimas	2019	67.546"
"Total Nacional	Sociedades anónimas	2018	78.866"
"Total Nacional	Sociedades anónimas	2017	81.954"
"Total Nacional	Sociedades anónimas	2016	85.430"
"Total Nacional	Sociedades anónimas	2015	89.392"
"Total Nacional	Sociedades anónimas	2014	92.986"
"Total Nacional	Sociedades anónimas	2013	96.600"
"Total Nacional	Sociedades anónimas	2012	102.532"
"Total Nacional	Sociedades anónimas	2011	104.636"
"Total Nacional	Sociedades anónimas	2010	105.203"
"Total Nacional	Sociedades anónimas	2009	109.330"
"Total Nacional	Sociedades anónimas	2008	113.130"
"Total Nacional	Sociedades anónimas	2007	115.580"
"Total Nacional	Sociedades anónimas	2006	117.441"
"Total Nacional	Sociedades anónimas	2005	121.441"
